EnglishName,NepaliName,District,Election,Gender,party
Ishwori Gharti ,इश्वरी घर्ती,Rolpa,Proportion,Female,NCP(UML)
Jabeda Khatun Jaga,जावेदा खातुन जागा,Bardiya,Proportion,Female,nepalicongress
Janardan Sharma,जनार्दन शर्मा,Rukum West,Direct,Male,MoistCenter
Jiban Pariyar,जीवन परियार,Kaski,Proportion,Male,nepalicongress
Juli Kumari Mahato (Mahaseth),जुली कुमारी महतो (महासेठ),Dhanusa,Direct,Female,NCP(UML)
Jwala Kumari Shah,ज्वाला कुमारी साह,Bara,Direct,Female,NCP(UML)
K.P. Sharma (Oli),के.पी. शर्मा (ओली),Jhapa,Direct,Male,NCP(UML)
Kalpana Chaudhary,कल्पना चौधरी,Sunsari,Proportion,Female,nepalicongress
Kalpana Miya Kusari,कल्पना मियाँ कुसारी ,Rukum West,Proportion,Female,MoistCenter
Kantika Sejuwal,कान्तिका सेजुवाल,Jumla,Proportion,Female,nepalicongress
Kham Bahadur Garbuja,खम बहादुर गर्बुजा,Myagdi,Direct,Male,nepalicongress
Kiran Kumar Shah,किरण कुमार साह,Rautahat,Direct,Male,NCP(UML)
Kishor Singh Rathore,किशोर सिंह राठोर,Banke,Direct,Male,nepalicongress
Krishna Gopal Shrestha,कृष्ण गोपाल श्रेष्ठ,Kathmandu,Direct,Male,NCP(UML)
Krishna Kumar Shrestha,कृष्ण कुमार श्रेष्ठ,Bara,Direct,Male,NCP(Unified Socialist)
Kusumdevi Thapa,कुसुमदेवी थापा,Rukum East,Proportion,Female,nepalicongress
Lal Prasad Sanwa Limbu,लाल प्रसाद सावा लिम्बु,Jhapa,Direct,Male,NCP(UML)
Lalbir Chaudhary,लालविर चौधरी,Bardiya,Direct,Male,nagrikUnmuktiparty
Laxmi Mahato Koiri,लक्ष्मी महतो कोइरी,Mahottari,Direct,Male,NCP(UML)
Laxmi Tiwari,लक्ष्मी तिवारी,Banke,Proportion,Female,NationalindependentParty
Lekhnath Dahal,लेख नाथ दाहाल,Sindhuli,Direct,Male,MoistCenter
Liladebi Bokhim (Limbu),लिला देवी वोखिम (लिम्बू),Taplejung,Proportion,Female,nepalicongress
Lilanath Shrestha,लिलानाथ श्रेष्ठ,Siraha,Direct,Male,NCP(UML)
Madhav Kumar Nepal,माधव कुमार नेपाल,Rautahat,Direct,Male,NCP(Unified Socialist)
Madhav Sapkota,माधव सापकोटा,Sindhupalchowk,Direct,Male,MoistCenter
Mahantha Thakur,महन्थ ठाकुर,Mahottari,Direct,Male,laktantricSamajbadiParty
Mahendra Bahadur Shahi,महेन्द्र बहादुर शाही,Kalikot,Direct,Male,MoistCenter
Mahendra Kumar Ray,महेन्द्र कुमार राय,Mahottari,Direct,Male,nepalicongress
Mahesh Basnet,महेश बस्नेत,Ilam,Direct,Male,NCP(UML)
Mahesh Kumar Bartaula,महेश कुमार बर्तौला,Makawanpur,Direct,Male,NCP(UML)
Mahindra Ray Yadav,महिन्द्र राय यादव,Sarlahi,Direct,Male,MoistCenter
Maina Karki,मैना कार्की,Jajarkot,Proportion,Female,nepalicongress
Man Bahadur Gurung ,मन बहादुर गुरुङ,Kaski,Direct,Male,NCP(UML)
Manbir Rai,मानबीर राई,Solukhumbu,Direct,Male,NCP(UML)
Mangal Prasad Gupta,मंगल प्रसाद गुप्ता,Kapilbastu,Direct,Male,NCP(UML)
Manish Jha,मनिष झा,Dhanusa,Proportion,Male,NationalindependentParty
Manju Khand,मन्जु खांण,Siraha,Proportion,Female,nepalicongress
Manju Sharma Ansari,मन्जु शर्मा अन्सारी,Saptari,Proportion,Female,SamajbadiParty
Manorama Sherchan,मनोरमा शेरचन,Rupandehi,Proportion,Female,nepalicongress
Maya Rai,माया राई,Bhojpur,Proportion,Female,nepalicongress
Menka Kumari Pokhrel,मेनका कुमारी पोख्रेल,Dang,Proportion,Female,NCP(UML)
Metmani Chaudhary,मेटमणी चौधरी,Dang,Direct,Male,NCP(Unified Socialist)
Mina Tamang,मिना तामाङ,Kavrepalanchowk,Proportion,Female,MoistCenter
Mina Yadav,मिना यादव,Sarlahi,Proportion,Female,MoistCenter
Mohan Acharya,मोहन आचार्य,Rasuwa,Direct,Male,nepalicongress
Mohan Bahadur Basnet,मोहन बहादुर बस्नेत ,Sindhupalchowk,Direct,Male,nepalicongress
Mukta Kumari Yadav,मुक्ता कुमारी यादव,Dhanusa,Proportion,Female,nepalicongress
